,0,1,2
2,CA-TVC,4.5,0.139
2,CA-TVC,4.5,0.154
2,CA-TVC,4.5,0.168
2,CA-TVC,4.5,0.18
2,CA-TVC,4.5,0.191
2,CA-TVC,4.5,0.205
2,CA-TVC,4.5,0.218
2,CA-TVC,4.5,0.23
2,CA-TVC,4.5,0.242
2,CA-TVC,4.5,0.255
